LAMBDA,FLUX,FERROR,MASKGOOD
8936.228000000001,-6.5540523704327e-19,1.7869768529683553e-18,False
8936.246,-2.6118423791353022e-18,2.385400284900168e-18,True
8936.739,-4.6320649916875835e-18,2.5467354235886117e-18,True
8959.838,-4.393695334771108e-18,1.9291758500422087e-18,True
8960.677,-9.943277521740405e-19,1.7351873843936043e-18,False
8960.697,-3.93936316803648e-18,2.3178624489071825e-18,True
8961.029,-2.492370654638669e-18,2.4990589868252576e-18,False
8985.126,-6.84177248947786e-19,1.6966566152280537e-18,False
8985.146999999999,-3.0055191222225625e-18,2.2726963300591526e-18,True
8985.221,-3.5685183055275816e-18,1.9350541207855373e-18,True
8985.482,1.3158736048645248e-19,2.5137085722564307e-18,False
9009.239,-1.074889351704935e-18,1.931051192145889e-18,False
9009.324,-7.337581693244656e-18,2.2332622952819944e-18,True
9009.576,-2.300062884254256e-18,1.6847070798606336e-18,True
9009.936,-8.937288674435298e-19,2.5036322302370024e-18,False
9033.687,1.715855139850769e-18,1.921665772722896e-18,False
9034.025,-5.67993058882592e-19,1.672145120942837e-18,False
9034.389000000001,2.74213121494548e-18,2.6818349133541044e-18,True
9034.439,-6.044369608587865e-18,2.1964469860412568e-18,True
9058.134,1.3441944829390114e-18,1.9313180485059542e-18,False
9058.475,3.8270363916225445e-18,1.6299903053441636e-18,True
9058.501,-5.254621904358099e-19,2.1693163976477228e-18,False
9058.841999999999,-2.3476047667478603e-18,2.630903460840343e-18,False
9082.581,9.381939590082678e-19,1.9347510009274912e-18,False
9082.925,1.959441693381615e-18,1.580184239726351e-18,True
9082.951,-8.84039386093894e-19,2.153029936053661e-18,False
9083.295,-2.8434508486705018e-18,2.601310115160862e-18,True
9107.028,-3.4702674322539553e-19,1.9644672034731587e-18,False
9107.374,1.3821185254272915e-18,1.5420894863797502e-18,False
9107.402,-1.1420756723788878e-18,2.1215698757661613e-18,False
9107.747,8.71943405127413e-19,2.4801606289363488e-18,False
9131.476,3.3364953136429806e-19,1.954060849124779e-18,False
9131.823,4.557991381770684e-18,1.5142947352173962e-18,True
9131.854,-2.6919145071472094e-18,2.1182127402463685e-18,True
9132.2,8.125398079100887e-19,2.4729773702350624e-18,False
9155.923,5.6222522220951536e-18,1.9302559130523207e-18,True
9156.271999999999,4.510026821193716e-18,1.486789456708604e-18,True
9156.305,2.3219648833190117e-18,2.130043341384523e-18,True
9156.653,-3.9726943670236894e-18,2.437194012131323e-18,True
9180.37,4.137699079704141e-18,1.898683704907409e-18,True
9180.723,4.083823131329601e-18,1.4626383245767437e-18,True
9180.755,1.4534140779167309e-18,1.9774167488767382e-18,False
9181.106,4.2997127932518467e-19,2.4358701821510016e-18,False
9204.817,5.622677360134111e-18,1.92553482245452e-18,True
9205.171999999999,4.547347174802675e-18,1.4351820096670212e-18,True
9205.206,9.428300825851626e-18,2.0489692428773167e-18,True
9205.56,3.8059184722494735e-18,2.4620691674110936e-18,True
9229.265,6.137328431818664e-18,1.9322779060867657e-18,True
9229.621,6.615528504726668e-18,1.4257781695304751e-18,True
9229.657,2.3445300214468925e-18,1.9209151057661826e-18,True
9230.011999999999,3.7549054137492685e-18,2.465100311921599e-18,True
9253.712,4.713164457578866e-18,1.898185337300726e-18,True
9254.071,6.538409155566336e-18,1.4061557379881228e-18,True
9254.108,1.0503527235605787e-17,1.9861659948085437e-18,True
9254.465,6.954331690423432e-18,2.5359024493620117e-18,True
9278.159,6.634038009887285e-18,1.92250900132484e-18,True
9278.5205,6.999180251569381e-18,1.3862019709070995e-18,True
9278.559000000001,6.66185250074436e-18,1.9397674687922616e-18,True
9278.918,3.720804150031058e-18,2.45366637190687e-18,True
9302.601999999999,5.3107022422271646e-18,1.9608134591562e-18,True
9302.968,7.868875081265856e-18,1.3982631138464719e-18,True
9303.007,3.836089669163313e-18,1.8942709127859838e-18,True
9303.37,9.322553539384876e-18,2.5711249687904453e-18,True
9327.049,7.912693598118526e-18,1.8832152064006357e-18,True
9327.409,8.904555434842219e-18,1.3921621271881307e-18,True
9327.457,8.657046393800244e-18,1.911091800243063e-18,True
9327.822,2.170467764433984e-18,2.3688658743224075e-18,False
9351.495,1.0137603322718387e-17,1.8775390785179163e-18,True
9351.858,1.1261100926067591e-17,1.4223717219574856e-18,True
9351.908000000001,6.716528823690807e-18,1.867691508758536e-18,True
9352.274,8.90456325829435e-18,2.3670733997832317e-18,True
9375.942,1.0230996055757388e-17,1.8262136882261054e-18,True
9376.309000000001,9.982265889014057e-18,1.3798678503151615e-18,True
9376.359,5.719822046302053e-18,1.8317418141923148e-18,True
9376.728000000001,1.1959180301676624e-17,2.417915050860364e-18,True
9400.39,1.169314245171885e-17,1.8146879693702607e-18,True
9400.758,1.1042207230105732e-17,1.3569453178357442e-18,True
9400.811,9.155995067986087e-18,1.8817427830395197e-18,True
9401.181,1.3179191720967844e-17,2.3864261179878424e-18,True
9424.837,1.0324010886448908e-17,1.74443252520177e-18,True
9425.207,1.1428497907847814e-17,1.34277615257072e-18,True
9425.261,7.125929679946402e-18,1.835319568056398e-18,True
9425.634,1.3689492784623482e-17,2.295269880897176e-18,True
9449.284,9.59760008316795e-18,1.7162969952674247e-18,True
9449.657,1.1742228777331852e-17,1.3456882595387062e-18,True
9449.712,9.028404585119373e-18,1.8200085714766248e-18,True
9450.087,9.908288895027235e-18,2.2169113012517807e-18,True
9473.731,1.0248142803113552e-17,1.6653239912456761e-18,True
9474.106,1.0441209694999567e-17,1.3317405135990398e-18,True
9474.163,9.978471344329783e-18,1.8308075560655102e-18,True
9474.539,6.379003725713606e-18,2.1056602742694e-18,True
9498.179,1.1123265951835772e-17,1.6317517442033562e-18,True
9498.556,7.82250811435562e-18,1.300445579614607e-18,True
9498.613000000001,8.711502429830927e-18,1.835697024334608e-18,True
9498.992,9.611130775045039e-18,2.124503793715305e-18,True
9522.626,9.078639599325987e-18,1.5931333017729292e-18,True
9523.006,8.598750623407902e-18,1.3037132906844035e-18,True
9523.064,1.2784142868387154e-17,1.8157746483435408e-18,True
9523.445,9.517107199567971e-18,2.078716706368128e-18,True
9547.073,9.198814694203279e-18,1.5565107363181974e-18,True
9547.455,1.2311129158606815e-17,1.3503191979521027e-18,True
9547.516,9.466644919907246e-18,1.796646609907031e-18,True
9547.898000000001,9.184345992447512e-18,2.0116777694641995e-18,True
9571.5205,9.238260283626462e-18,1.52926580729767e-18,True
9571.904,1.3262902074082984e-17,1.3390752304669283e-18,True
9571.966999999999,1.2292394932504634e-17,1.811438176147681e-18,True
9572.351999999999,9.680565595303843e-18,2.0145452923000462e-18,True
9595.968,8.375044285474483e-18,1.4866051173918068e-18,True
9596.354,1.1171024848429526e-17,1.3143707306428804e-18,True
9596.418,9.012016015206276e-18,1.790559129941083e-18,True
9596.804,9.68724335065406e-18,1.9323066378893737e-18,True
